E,Rockefeller Center,40.7587402,-73.9786736,18807,14505,4302,7465,6363,4080,618,454,13581,272,3791,9330,2010,7
E,Times Square,40.759011,-73.9844722,20160,14451,5709,4733,5291,7497,2488,574,12748,1406,3435,9570,2010,7
C,Literary Walk,40.7723522,-73.9715901,21,11,9,9,5,5,0,0,12,2,1,7,2010,7
B,The Plaza,40.764464,-73.974489,7505,5563,1942,2028,2905,1982,557,211,5357,159,1348,3697,2010,7
D,Orchard Beach,40.8629619,-73.7926456,10,8,2,6,3,1,0,1,7,1,1,6,2010,7
D,Long Beach,40.5884373,-73.657908,16,10,6,0,8,2,6,0,0,16,1,8,2010,7
C,Ricahrd Morris Hunt Memorial,40.7714825,-73.9677474,726,561,165,206,321,175,16,5,532,1,123,371,2010,7
C,107th Infantry Memorial,40.769249,-73.9694586,1116,887,229,285,476,291,54,25,857,9,177,558,2010,7
A,Prospect Park,40.6602037,-73.9689558,19661,12571,7090,1277,2384,7347,8365,549,2372,3666,3166,9867,2010,7
C,911 Memorial,40.7115405,-74.0132725,36656,26483,10173,12271,8303,9601,6124,823,13585,1495,7174,18300,2010,7
A,Battery Park,40.7032775,-74.0170279,16277,10988,5289,6583,4565,3341,1730,495,3637,317,1794,7573,2010,7
E,Broadway and Shubert Alley,40.7578253,-73.9871766,12550,8530,4020,2219,3462,5643,1177,394,8663,290,2074,5772,2010,7
C,Grants Tomb,40.8134045,-73.9630671,1340,887,452,209,298,467,351,26,411,53,217,638,2010,7
E,Empire State Building,40.7484405,-73.9856644,26739,18611,8128,6071,8024,9388,3181,877,18943,196,4091,12391,2010,7
C,Grand Army Plaza,40.764591,-73.9736523,21898,16154,5743,6650,8657,5375,1132,598,16305,290,3927,10653,2010,7
D,Coney Island Beach,40.5749261,-73.9859414,558,335,223,97,167,163,120,24,24,513,72,267,2010,7
C,Washington Square Arch,40.7314658,-73.9970956,23132,16026,7106,4245,5914,9192,3722,552,12755,403,4983,11450,2010,7
C,Columbus Circle Fountain,40.767885,-73.982622,21962,15516,6445,4642,7219,8160,1837,523,14935,341,4510,10825,2010,7
D,Rockaway beach and Boardwalk,40.5863767,-73.8004768,96,55,41,17,17,31,29,0,7,81,9,50,2010,7
B,Mandarin Oriental,40.768971,-73.983044,9807,7229,2577,2065,2758,3661,1270,176,6335,258,2030,4828,2010,7
A,Riverside Park,40.8012339,-73.9723096,197493,144391,53101,28327,48425,81452,37600,4964,87651,4163,35559,99032,2010,7
B,The Greenwich Hotel,40.719846,-74.009893,19221,14812,4409,5444,3531,8447,1688,338,8622,216,4715,9654,2010,7
A,Central Park,40.7711329,-73.9741874,647880,478327,169552,142419,201210,224489,76003,14744,393564,11144,120913,321290,2010,7
B,Trump SoHo Hotel,40.725469,-74.005333,6988,4897,2091,818,1635,2650,1861,162,3407,392,1396,3424,2010,7
B,The Mark Hotel,40.775274,-73.963405,7729,6289,1440,1774,2737,2714,486,123,5557,64,1433,3944,2010,7
A,Bryant Park,40.7535965,-73.9832326,34195,27629,6566,13352,9776,8351,2521,506,23247,624,8568,17483,2010,7
B,The Pierre Hotel,40.765247,-73.971998,3581,2640,940,923,1388,1000,257,73,2463,70,642,1780,2010,7
D,Fort Tilden Beach,40.564254,-73.883913,19,16,3,8,0,11,0,0,8,10,1,9,2010,7
B,Gramercy Park Hotel,40.738524,-73.985742,8451,6168,2283,794,1722,4059,1852,201,5771,192,2013,4244,2010,7
B,Four Seasons Hotel,40.762347,-73.971312,16435,13750,2685,7137,4705,3663,890,252,11782,297,3677,8530,2010,7
B,The Surrey Hotel,40.774287,-73.96397,10516,8300,2216,2343,3590,3733,828,153,7203,102,1949,5439,2010,7
C,Statue of Liberty,40.6892494,-74.0445004,16277,10988,5289,6583,4565,3341,1730,495,3637,317,1794,7573,2010,7
F,Regal Cinemas Battery Park,40.71499216,-74.01525132,21560,16422,5138,7382,5116,6708,2245,413,6973,1209,4503,10748,2010,7
A,State of liberty National Monument,40.6892494,-74.0445004,16277,10988,5289,6583,4565,3341,1730,495,3637,317,1794,7573,2010,7
E,Museum of National History,40.7813241,-73.9739882,12413,8571,3842,4546,6235,1379,241,438,7010,39,1287,5526,2010,7
A,Rockaway Beach and Boardwalk,40.5863767,-73.8004768,96,55,41,17,17,31,29,0,7,81,9,50,2010,7
F,Sunshine Cinema,40.723024,-73.989961,7725,4493,3232,422,1138,3619,2502,239,4711,117,1747,3712,2010,7
B,The Peninsula Hotel,40.761719,-73.975259,9880,7869,2011,3628,2706,2853,631,193,6853,198,2167,4945,2010,7
E,Metropolitan Museum of Art,40.7791865,-73.9635348,11334,7766,3568,3870,5426,1869,160,282,5611,50,1307,5293,2010,7
F,Broadway Theater,40.763417,-73.983394,9032,6280,2752,1675,2078,3693,1555,127,5754,415,1726,4279,2010,7
A,Coney Island,40.5749261,-73.9859414,558,335,223,97,167,163,120,24,24,513,72,267,2010,7
F,AMC Lowes Lincoln Square,40.774866,-73.981646,12669,8365,4304,1717,4182,5685,1048,357,8784,102,2754,6301,2010,7
