B,Mandarin Oriental,40.768971,-73.983044,10764,7225,3539,2126,2914,4422,1238,442,7216,272,2027,5406,2010,1
A,Battery Park,40.7032775,-74.0170279,10181,6713,3467,3586,2735,2384,1405,763,2764,339,1356,4946,2010,1
C,Literary Walk,40.7723522,-73.9715901,23,19,4,5,4,10,3,1,20,0,5,9,2010,1
B,The Greenwich Hotel,40.719846,-74.009893,17901,12331,5570,4045,3571,8651,1517,665,8589,219,3778,9124,2010,1
A,Riverside Park,40.8012339,-73.9723096,248597,169388,79209,37255,62734,105713,41887,13958,125177,4792,38572,124213,2010,1
C,Ricahrd Morris Hunt Memorial,40.7714825,-73.9677474,729,447,281,246,328,114,37,26,523,3,93,358,2010,1
B,Trump SoHo Hotel,40.725469,-74.005333,1541,1126,415,496,492,322,225,71,878,8,366,806,2010,1
C,107th Infantry Memorial,40.769249,-73.9694586,1218,897,321,331,419,381,81,51,879,18,212,676,2010,1
B,The Mark Hotel,40.775274,-73.963405,8120,5922,2197,2165,3042,2435,451,336,5994,43,1378,4159,2010,1
E,Museum of National History,40.7813241,-73.9739882,10490,5357,5132,3286,5286,1577,330,745,6372,69,1217,4869,2010,1
C,911 Memorial,40.7115405,-74.0132725,28094,19718,8376,8992,6123,7134,5577,1714,11098,1049,4970,14135,2010,1
B,The Pierre Hotel,40.765247,-73.971998,3673,2537,1136,865,1396,1210,189,197,2645,41,620,1842,2010,1
E,Metropolitan Museum of Art,40.7791865,-73.9635348,9172,4980,4191,2805,4359,1765,235,315,5209,50,1124,4446,2010,1
C,Grants Tomb,40.8134045,-73.9630671,1613,1055,558,227,325,643,395,95,629,61,276,829,2010,1
B,Gramercy Park Hotel,40.738524,-73.985742,9617,6168,3449,955,1889,4761,1972,541,6379,129,2064,4764,2010,1
A,Central Park,40.7711329,-73.9741874,713346,487197,226149,167485,219951,245309,77676,35816,455671,11209,118754,359154,2010,1
A,Rockaway Beach and Boardwalk,40.5863767,-73.8004768,87,61,25,7,16,27,34,17,18,49,9,46,2010,1
C,Grand Army Plaza,40.764591,-73.9736523,20400,13608,6792,6343,8120,4904,974,1166,15178,283,3409,10202,2010,1
B,Four Seasons Hotel,40.762347,-73.971312,17851,13767,4084,6728,4842,5089,1144,750,12798,265,3320,9189,2010,1
B,The Plaza,40.764464,-73.974489,7173,4952,2221,2183,2523,1962,488,414,5019,140,1184,3588,2010,1
C,Washington Square Arch,40.7314658,-73.9970956,22746,15112,7634,4564,5929,8445,3715,1163,13168,573,4444,11459,2010,1
B,The Surrey Hotel,40.774287,-73.96397,12132,8858,3274,2781,4583,4063,690,555,8850,109,1905,6190,2010,1
C,Statue of Liberty,40.6892494,-74.0445004,10181,6713,3467,3586,2735,2384,1405,763,2764,339,1356,4946,2010,1
C,Columbus Circle Fountain,40.767885,-73.982622,23221,15234,7987,4627,7627,9116,1752,1141,16294,320,4474,11712,2010,1
B,The Peninsula Hotel,40.761719,-73.975259,9719,6855,2864,3627,2910,2565,555,487,6739,191,1810,4975,2010,1
D,Orchard Beach,40.8629619,-73.7926456,1,0,1,0,1,0,0,0,1,0,0,1,2010,1
D,Long Beach,40.5884373,-73.657908,26,15,11,2,5,17,2,2,3,23,12,11,2010,1
A,Coney Island,40.5749261,-73.9859414,356,230,126,52,71,133,99,25,36,292,30,191,2010,1
A,Prospect Park,40.6602037,-73.9689558,19524,12121,7403,1490,2420,7272,8023,1274,2841,3337,2730,9925,2010,1
F,Regal Cinemas Battery Park,40.71499216,-74.01525132,20352,15056,5296,7308,4538,6353,1986,997,7162,1017,4282,10210,2010,1
D,Jones Beach,40.6298139,-73.5030099,1,1,0,0,1,0,0,0,1,0,0,1,2010,1
D,Fort Tilden Beach,40.564254,-73.883913,13,4,9,2,4,2,5,2,4,6,2,10,2010,1
F,Sunshine Cinema,40.723024,-73.989961,7689,3727,3962,418,1215,3283,2745,489,4872,112,1544,3787,2010,1
E,Broadway and Shubert Alley,40.7578253,-73.9871766,10407,6368,4039,1923,3133,4436,877,596,7227,208,1523,4969,2010,1
F,Broadway Theater,40.763417,-73.983394,8758,5672,3086,2039,1894,3097,1680,453,5725,302,1502,4250,2010,1
E,Empire State Building,40.7484405,-73.9856644,21770,14761,7009,5433,7222,6535,2507,1653,15487,220,3489,10644,2010,1
F,AMC Lowes Lincoln Square,40.774866,-73.981646,17182,9845,7337,2921,6120,7130,953,1255,12202,89,3076,8448,2010,1
D,Coney Island Beach,40.5749261,-73.9859414,356,230,126,52,71,133,99,25,36,292,30,191,2010,1
A,Bryant Park,40.7535965,-73.9832326,31594,24530,7064,13073,8568,6785,2982,1223,21626,561,7017,16418,2010,1
E,Rockefeller Center,40.7587402,-73.9786736,17894,12406,5488,6314,6734,4061,741,957,12707,203,3254,8904,2010,1
D,Rockaway beach and Boardwalk,40.5863767,-73.8004768,87,61,25,7,16,27,34,17,18,49,9,46,2010,1
A,State of liberty National Monument,40.6892494,-74.0445004,10181,6713,3467,3586,2735,2384,1405,763,2764,339,1356,4946,2010,1
E,Times Square,40.759011,-73.9844722,20185,12894,7291,3967,5279,8403,2410,927,13116,1055,3263,9717,2010,1
E,Rockefeller Center,40.7587402,-73.9786736,26903,19361,7542,11904,9267,4782,691,569,19098,397,6425,16146,2010,10
E,Times Square,40.759011,-73.9844722,27847,19174,8673,6615,6837,9747,4449,767,16942,2201,5594,15603,2010,10
C,Literary Walk,40.7723522,-73.9715901,24,17,7,1,8,8,6,3,12,0,3,11,2010,10
B,The Plaza,40.764464,-73.974489,13040,8979,4061,3739,4466,3919,880,325,8968,260,2984,7740,2010,10
D,Orchard Beach,40.8629619,-73.7926456,2,2,0,1,0,1,0,0,0,0,0,2,2010,10
D,Long Beach,40.5884373,-73.657908,14,10,4,3,3,8,0,0,2,12,3,12,2010,10
C,Ricahrd Morris Hunt Memorial,40.7714825,-73.9677474,1154,805,349,422,487,222,22,2,809,14,211,692,2010,10
C,107th Infantry Memorial,40.769249,-73.9694586,1794,1339,454,550,631,533,76,26,1390,24,352,1095,2010,10
A,Prospect Park,40.6602037,-73.9689558,27862,17096,10766,2006,3017,9775,12594,857,2925,5087,5167,16558,2010,10
C,911 Memorial,40.7115405,-74.0132725,51029,35582,15447,17680,11077,12397,9335,1531,17188,2503,11099,30108,2010,10
D,Jones Beach,40.6298139,-73.5030099,13,0,13,0,13,0,0,0,6,0,0,3,2010,10
A,Battery Park,40.7032775,-74.0170279,22632,12885,9746,8963,6021,4378,3104,683,5083,561,3062,12415,2010,10
E,Broadway and Shubert Alley,40.7578253,-73.9871766,17355,11390,5965,3220,4700,7650,1679,613,11587,520,3392,9495,2010,10
C,Grants Tomb,40.8134045,-73.9630671,2238,1355,882,336,473,902,510,60,766,61,417,1342,2010,10
E,Empire State Building,40.7484405,-73.9856644,36700,23785,12915,10224,9842,11370,5122,1090,26314,314,7283,20209,2010,10
C,Grand Army Plaza,40.764591,-73.9736523,32709,22545,10163,10662,12205,8112,1590,635,24524,385,7329,19299,2010,10
D,Coney Island Beach,40.5749261,-73.9859414,495,281,214,67,96,170,151,9,19,453,37,285,2010,10
C,Washington Square Arch,40.7314658,-73.9970956,41881,27620,14261,9811,11331,14551,6088,1116,24483,809,10778,24807,2010,10
D,Rockaway beach and Boardwalk,40.5863767,-73.8004768,111,69,41,11,22,29,41,6,10,87,12,60,2010,10
C,Columbus Circle Fountain,40.767885,-73.982622,34025,22951,11074,8044,10014,13058,2724,995,22801,572,8784,20379,2010,10
B,Mandarin Oriental,40.768971,-73.983044,19122,13102,6019,4125,4441,7343,3057,555,12036,520,5255,11681,2010,10
A,Riverside Park,40.8012339,-73.9723096,349239,235480,113758,55324,86970,144796,60508,10442,165583,6342,73268,208788,2010,10
B,The Greenwich Hotel,40.719846,-74.009893,30032,20940,9092,7889,5623,13678,2691,764,13691,326,8512,18016,2010,10
A,Central Park,40.7711329,-73.9741874,1010213,703365,306847,237262,310232,350026,108122,27913,630258,16789,223597,600753,2010,10
B,Trump SoHo Hotel,40.725469,-74.005333,11757,7639,4118,1673,2567,4390,3061,327,5958,685,2689,6776,2010,10
B,The Mark Hotel,40.775274,-73.963405,14467,10753,3714,3571,4302,5534,999,358,10727,58,3157,8875,2010,10
A,Bryant Park,40.7535965,-73.9832326,46339,36193,10146,19655,13749,9726,2853,1184,31407,933,13972,28294,2010,10
B,The Pierre Hotel,40.765247,-73.971998,6696,4834,1862,1885,2010,2341,440,116,4719,123,1535,4018,2010,10
D,Fort Tilden Beach,40.564254,-73.883913,22,7,15,10,6,3,1,0,0,20,1,11,2010,10
B,Gramercy Park Hotel,40.738524,-73.985742,15000,10020,4980,1646,2739,7311,3251,430,9788,375,3906,8695,2010,10
B,Four Seasons Hotel,40.762347,-73.971312,28525,21729,6796,10044,7640,7362,3394,896,19825,464,7289,17750,2010,10
B,The Surrey Hotel,40.774287,-73.96397,19260,14259,5001,4740,5998,6928,1553,446,13607,175,3893,11703,2010,10
C,Statue of Liberty,40.6892494,-74.0445004,22632,12885,9746,8963,6021,4378,3104,683,5083,561,3062,12415,2010,10
F,Regal Cinemas Battery Park,40.71499216,-74.01525132,27748,20547,7201,10132,5514,8519,3427,950,8432,1811,7244,16736,2010,10
A,State of liberty National Monument,40.6892494,-74.0445004,22632,12885,9746,8963,6021,4378,3104,683,5083,561,3062,12415,2010,10
E,Museum of National History,40.7813241,-73.9739882,13642,8576,5066,5021,6219,2004,384,479,7890,67,1774,7133,2010,10
A,Rockaway Beach and Boardwalk,40.5863767,-73.8004768,111,69,41,11,22,29,41,6,10,87,12,60,2010,10
F,Sunshine Cinema,40.723024,-73.989961,10393,5355,5038,537,1394,4357,4062,207,6267,170,2810,5775,2010,10
B,The Peninsula Hotel,40.761719,-73.975259,14264,10704,3560,5510,3861,3665,1134,277,9914,376,3537,8859,2010,10
E,Metropolitan Museum of Art,40.7791865,-73.9635348,15531,10106,5425,6464,6320,2526,205,352,8189,45,2089,8623,2010,10
F,Broadway Theater,40.763417,-73.983394,14532,9907,4625,2908,3231,5863,2451,389,9440,594,2975,8076,2010,10
A,Coney Island,40.5749261,-73.9859414,495,281,214,67,96,170,151,9,19,453,37,285,2010,10
F,AMC Lowes Lincoln Square,40.774866,-73.981646,18064,11573,6491,3119,5795,7796,1273,497,13124,147,4718,11012,2010,10
C,Statue of Liberty,40.6892494,-74.0445004,20852,13138,7714,8294,5389,4031,2830,1173,4597,492,2836,11401,2010,11
E,Rockefeller Center,40.7587402,-73.9786736,28719,21150,7569,12785,9340,5427,850,1425,20921,340,6727,16783,2010,11
A,Rockaway Beach and Boardwalk,40.5863767,-73.8004768,114,69,44,11,16,34,48,5,8,92,8,65,2010,11
B,The Peninsula Hotel,40.761719,-73.975259,14531,10926,3605,5513,3971,3895,1019,695,10396,315,3804,8963,2010,11
E,Times Square,40.759011,-73.9844722,30030,21707,8323,7266,7254,11166,4119,1522,19090,1936,6374,16831,2010,11
D,Orchard Beach,40.8629619,-73.7926456,5,5,0,5,0,0,0,0,5,0,0,1,2010,11
C,Literary Walk,40.7723522,-73.9715901,11,8,3,2,2,5,1,1,5,0,1,7,2010,11
D,Long Beach,40.5884373,-73.657908,30,16,14,3,4,10,12,4,6,22,18,18,2010,11
A,Battery Park,40.7032775,-74.0170279,20852,13138,7714,8294,5389,4031,2830,1173,4597,492,2836,11401,2010,11
C,Ricahrd Morris Hunt Memorial,40.7714825,-73.9677474,1069,810,259,381,493,170,21,50,792,9,189,635,2010,11
C,107th Infantry Memorial,40.769249,-73.9694586,2098,1614,483,689,674,633,96,223,1704,13,377,1235,2010,11
D,Jones Beach,40.6298139,-73.5030099,1,1,0,0,1,0,0,0,1,0,0,1,2010,11
C,911 Memorial,40.7115405,-74.0132725,47939,35069,12870,16913,11161,11046,8315,2691,16136,2121,10713,28165,2010,11
E,Broadway and Shubert Alley,40.7578253,-73.9871766,17995,12382,5613,3033,5087,7776,1977,1190,12283,486,3542,9794,2010,11
A,Bryant Park,40.7535965,-73.9832326,47169,37253,9916,19678,13845,9754,3317,2613,32094,973,13779,28205,2010,11
B,The Plaza,40.764464,-73.974489,13500,9503,3996,3640,5139,3805,838,665,9515,260,2989,7870,2010,11
