shape,name,point,latitude,longitude
1,Central Park,1,40.76750917,-73.98483038
1,Central Park,2,40.78323856,-73.97455215
1,Central Park,3,40.79282387,-73.96755695
1,Central Park,4,40.80208293,-73.9601326
1,Central Park,5,40.79993884,-73.95472527
1,Central Park,6,40.79707995,-73.94794464
1,Central Park,7,40.79184916,-73.95142078
1,Central Park,8,40.78304359,-73.95802975
1,Central Park,9,40.77456186,-73.96416664
1,Central Park,10,40.7632837,-73.97270679
2,Coney Island,1,40.57354402,-74.00257587
2,Coney Island,2,40.5757606,-73.9811182
2,Coney Island,3,40.57703184,-73.96841526
2,Coney Island,4,40.57719482,-73.95390987
2,Coney Island,5,40.57429376,-73.95318031
2,Coney Island,6,40.57184894,-73.97704124
2,Coney Island,7,40.56976263,-74.00184631
3,Prospect Park,1,40.66064423,-73.98092508
3,Prospect Park,2,40.65811305,-73.97567868
3,Prospect Park,3,40.65072241,-73.97352219
3,Prospect Park,4,40.64743381,-73.97343636
3,Prospect Park,5,40.65127593,-73.96317959
3,Prospect Park,6,40.6554434,-73.95983219
3,Prospect Park,7,40.66413564,-73.95978928
3,Prospect Park,8,40.67100399,-73.96034718
3,Prospect Park,9,40.67598392,-73.97150517
3,Prospect Park,10,40.66794425,-73.97721291
4,Bryant Park,1,40.75358441,-73.98513615
4,Bryant Park,2,40.75216617,-73.98174584
4,Bryant Park,3,40.7535519,-73.98086607
4,Bryant Park,4,40.75493353,-73.98403645
5,State of liberty National Monument,1,40.70650632,-74.01776791
5,State of liberty National Monument,2,40.70548967,-74.01466727
5,State of liberty National Monument,3,40.70450555,-74.0132618
5,State of liberty National Monument,4,40.70238271,-74.01330471
5,State of liberty National Monument,5,40.70152867,-74.01259661
5,State of liberty National Monument,6,40.70063396,-74.01415229
5,State of liberty National Monument,7,40.70346447,-74.01767135
6,Battery Park,1,40.70650632,-74.01776791
6,Battery Park,2,40.70548967,-74.01466727
6,Battery Park,3,40.70450555,-74.0132618
6,Battery Park,4,40.70238271,-74.01330471
6,Battery Park,5,40.70152867,-74.01259661
6,Battery Park,6,40.70063396,-74.01415229
6,Battery Park,7,40.70346447,-74.01767135
7,Riverside Park,1,40.81890839,-73.96365166
7,Riverside Park,2,40.78164629,-73.98888588
7,Riverside Park,3,40.77979401,-73.98459435
7,Riverside Park,4,40.79503317,-73.97240639
7,Riverside Park,5,40.81517337,-73.95875931
8,Rockaway Beach and Boardwalk,1,40.58443063,-73.82327557
8,Rockaway Beach and Boardwalk,2,40.58788529,-73.8088131
8,Rockaway Beach and Boardwalk,3,40.59114424,-73.7940073
8,Rockaway Beach and Boardwalk,4,40.5954784,-73.77795696
8,Rockaway Beach and Boardwalk,5,40.59622788,-73.7671423
8,Rockaway Beach and Boardwalk,6,40.59094871,-73.76671314
8,Rockaway Beach and Boardwalk,7,40.58635353,-73.79559517
8,Rockaway Beach and Boardwalk,8,40.58042169,-73.82306099
9,The Plaza,1,40.76432384,-73.97558212
9,The Plaza,2,40.76533958,-73.97486329
9,The Plaza,3,40.764657,-73.97339344
9,The Plaza,4,40.76368188,-73.97399426
10,The Greenwich Hotel,1,40.71932286,-74.01051521
10,The Greenwich Hotel,2,40.7202905,-74.01024699
10,The Greenwich Hotel,3,40.72008722,-74.00834799
10,The Greenwich Hotel,4,40.7191521,-74.00859475
11,Mandarin Oriental,1,40.76957305,-73.98472309
11,Mandarin Oriental,2,40.77012558,-73.98443341
11,Mandarin Oriental,3,40.76897989,-73.98186922
11,Mandarin Oriental,4,40.76845986,-73.9820838
12,The Mark Hotel,1,40.77528496,-73.9640379
12,The Mark Hotel,2,40.77607305,-73.96339417
12,The Mark Hotel,3,40.77570744,-73.96239638
12,The Mark Hotel,4,40.77484622,-73.96304011
13,Trump SoHo Hotel,1,40.72490086,-74.00525272
13,Trump SoHo Hotel,2,40.72496184,-74.00590718
13,Trump SoHo Hotel,3,40.72572207,-74.00577307
13,Trump SoHo Hotel,4,40.72570175,-74.0051347
14,Gramercy Park Hotel,1,40.7384333,-73.98637533
14,Gramercy Park Hotel,2,40.73909989,-73.9857316
14,Gramercy Park Hotel,3,40.73884789,-73.98511201
14,Gramercy Park Hotel,4,40.73812235,-73.98562431
15,The Pierre Hotel,1,40.76503486,-73.97260487
15,The Pierre Hotel,2,40.76560774,-73.97212744
15,The Pierre Hotel,3,40.76525832,-73.97130668
15,The Pierre Hotel,4,40.76453918,-73.97192359
16,The Surrey Hotel,1,40.77404999,-73.96489084
16,The Surrey Hotel,2,40.77475685,-73.96418005
16,The Surrey Hotel,3,40.77442374,-73.96337271
16,The Surrey Hotel,4,40.77357063,-73.96396279
17,Four Seasons Hotel,1,40.7621704,-73.97226691
17,Four Seasons Hotel,2,40.76293021,-73.97159636
17,Four Seasons Hotel,3,40.76233699,-73.97020161
17,Four Seasons Hotel,4,40.76154874,-73.97079706
18,The Peninsula Hotel,1,40.76141465,-73.97649407
18,The Peninsula Hotel,2,40.76218665,-73.97590935
18,The Peninsula Hotel,3,40.76169907,-73.97476137
18,The Peninsula Hotel,4,40.76094332,-73.9753139
19,Statue of Liberty,1,40.70650632,-74.01776791
19,Statue of Liberty,2,40.70548967,-74.01466727
19,Statue of Liberty,3,40.70450555,-74.0132618
19,Statue of Liberty,4,40.70238271,-74.01330471
19,Statue of Liberty,5,40.70152867,-74.01259661
19,Statue of Liberty,6,40.70063396,-74.01415229
19,Statue of Liberty,7,40.70346447,-74.01767135
20,Grants Tomb,1,40.81166552,-73.96275043
20,Grants Tomb,2,40.81635886,-73.95961761
20,Grants Tomb,3,40.81710586,-73.96161318
20,Grants Tomb,4,40.81212025,-73.96519661
21,Grand Army Plaza,1,40.76340559,-73.97349
21,Grand Army Plaza,2,40.76491703,-73.97226691
21,Grand Army Plaza,3,40.76549398,-73.97339344
21,Grand Army Plaza,4,40.76390941,-73.97446632
22,Washington Square Arch,1,40.73090929,-74.00015116
22,Washington Square Arch,2,40.72912471,-73.99650335
22,Washington Square Arch,3,40.73106783,-73.99521589
22,Washington Square Arch,4,40.73274668,-73.9987725
23,Columbus Circle Fountain,1,40.767046,-73.98185849
23,Columbus Circle Fountain,2,40.76827297,-73.98061395
23,Columbus Circle Fountain,3,40.76929679,-73.98287773
23,Columbus Circle Fountain,4,40.76792357,-73.98391843
24,Literary Walk,1,40.7726525,-73.97191286
24,Literary Walk,2,40.77281501,-73.97092044
24,Literary Walk,3,40.77212844,-73.9710921
24,Literary Walk,4,40.77224219,-73.97215426
25,Ricahrd Morris Hunt Memorial,1,40.77190906,-73.96757305
25,Ricahrd Morris Hunt Memorial,2,40.77187656,-73.96731824
25,Ricahrd Morris Hunt Memorial,3,40.77096857,-73.96797001
25,Ricahrd Morris Hunt Memorial,4,40.77115748,-73.96822214
26,107th Infantry Memorial,1,40.76998338,-73.96911263
26,107th Infantry Memorial,2,40.76989807,-73.96869421
26,107th Infantry Memorial,3,40.76848424,-73.96976173
26,107th Infantry Memorial,4,40.76861831,-73.97018015
27,911 Memorial,1,40.70908446,-74.01192069
27,911 Memorial,2,40.71300435,-74.00912046
27,911 Memorial,3,40.71459013,-74.01390553
27,911 Memorial,4,40.70997906,-74.01528955
28,Fort Tilden Beach,1,40.56555721,-73.89241219
28,Fort Tilden Beach,2,40.56783925,-73.88365746
28,Fort Tilden Beach,3,40.56438356,-73.88031006
28,Fort Tilden Beach,4,40.562134,-73.88812065
29,Jacob Riis Park  Beach,1,40.5653127,-73.87403369
29,Jacob Riis Park  Beach,2,40.56596472,-73.87306809
29,Jacob Riis Park  Beach,3,40.56637224,-73.8715446
29,Jacob Riis Park  Beach,4,40.5653779,-73.8709867
29,Jacob Riis Park  Beach,5,40.56481553,-73.87327194
30,Jones Beach,1,40.60118081,-73.46334457
30,Jones Beach,2,40.61121587,-73.46214294
30,Jones Beach,3,40.61707982,-73.4223175
30,Jones Beach,4,40.60978238,-73.42180252
30,Jones Beach,5,40.6053514,-73.44274521
31,Cherry Grove Beach,1,40.65899205,-73.08384418
31,Cherry Grove Beach,2,40.66218243,-73.08517456
31,Cherry Grove Beach,3,40.65840605,-73.09779167
31,Cherry Grove Beach,4,40.65606198,-73.09719086
32,Long Beach,1,40.58351805,-73.65174294
32,Long Beach,2,40.59055764,-73.65208626
32,Long Beach,3,40.59101388,-73.66414547
32,Long Beach,4,40.58410471,-73.66453171
33,Orchard Beach,1,40.86267354,-73.80319118
33,Orchard Beach,2,40.86909952,-73.79967213
33,Orchard Beach,3,40.86695759,-73.79452229
33,Orchard Beach,4,40.86475069,-73.7962389
33,Orchard Beach,5,40.86514015,-73.80040169
33,Orchard Beach,6,40.86312792,-73.80143166
34,Rockaway beach and Boardwalk,1,40.58443063,-73.82327557
34,Rockaway beach and Boardwalk,2,40.58788529,-73.8088131
34,Rockaway beach and Boardwalk,3,40.59114424,-73.7940073
34,Rockaway beach and Boardwalk,4,40.5954784,-73.77795696
34,Rockaway beach and Boardwalk,5,40.59622788,-73.7671423
34,Rockaway beach and Boardwalk,6,40.59094871,-73.76671314
34,Rockaway beach and Boardwalk,7,40.58635353,-73.79559517
34,Rockaway beach and Boardwalk,8,40.58042169,-73.82306099
35,Coney Island Beach,1,40.57354402,-74.00257587
35,Coney Island Beach,2,40.5757606,-73.9811182
35,Coney Island Beach,3,40.57703184,-73.96841526
35,Coney Island Beach,4,40.57719482,-73.95390987
35,Coney Island Beach,5,40.57429376,-73.95318031
35,Coney Island Beach,6,40.57184894,-73.97704124
35,Coney Island Beach,7,40.56976263,-74.00184631
36,Empire State Building,1,40.74849243,-73.98698688
36,Empire State Building,2,40.74932147,-73.98634851
36,Empire State Building,3,40.74850868,-73.98430467
36,Empire State Building,4,40.74766743,-73.9850235
37,Broadway and Shubert Alley,1,40.75847283,-73.98902535
37,Broadway and Shubert Alley,2,40.75876539,-73.98881078
37,Broadway and Shubert Alley,3,40.75744885,-73.98577452
37,Broadway and Shubert Alley,4,40.75710752,-73.98597836
38,Metropolitan Museum of Art,1,40.7801921,-73.96153808
38,Metropolitan Museum of Art,2,40.78008648,-73.96125913
38,Metropolitan Museum of Art,3,40.77686926,-73.96368384
38,Metropolitan Museum of Art,4,40.7769505,-73.96390915
39,Museum of National History,1,40.7801596,-73.97571087
39,Museum of National History,2,40.78048456,-73.9756465
39,Museum of National History,3,40.77980214,-73.97375822
39,Museum of National History,4,40.78156506,-73.97223473
39,Museum of National History,5,40.78158943,-73.97184849
39,Museum of National History,6,40.77926594,-73.97354364
40,Rockefeller Center,1,40.75774548,-73.97765279
40,Rockefeller Center,2,40.75855816,-73.97705734
40,Rockefeller Center,3,40.75920423,-73.97863984
40,Rockefeller Center,4,40.75848096,-73.97919238
41,Times Square,1,40.75897669,-73.98618758
41,Times Square,2,40.75969183,-73.98557603
41,Times Square,3,40.75925299,-73.9844656
41,Times Square,4,40.75845658,-73.98505569
42,Broadway Theater,1,40.7626336,-73.98322642
42,Broadway Theater,2,40.76340965,-73.98277044
42,Broadway Theater,3,40.76390534,-73.9839828
42,Broadway Theater,4,40.76309679,-73.98449242
43,AMC Lowes Lincoln Square,1,40.77414749,-73.98134351
43,AMC Lowes Lincoln Square,2,40.77499247,-73.98064613
43,AMC Lowes Lincoln Square,3,40.77545558,-73.98193359
43,AMC Lowes Lincoln Square,4,40.7746756,-73.98244858
44,Regal Cinemas Battery Park,1,40.71482597,-74.01637316
44,Regal Cinemas Battery Park,2,40.71602137,-74.01541829
44,Regal Cinemas Battery Park,3,40.71549279,-74.01394844
44,Regal Cinemas Battery Park,4,40.71389077,-74.01455998
45,Sunshine Cinema,1,40.72181106,-73.98996949
45,Sunshine Cinema,2,40.72327467,-73.98923993
45,Sunshine Cinema,3,40.7236365,-73.99045229
45,Sunshine Cinema,4,40.72213225,-73.99103165
